name,종별코드명,doctors,lon,lat
365힐링의원,의원,3,127.1327526,37.5361797
365힐링의원,의원,9,127.0552619,37.2409494
365힐링의원,의원,2,127.1142799,37.3207183
3대정이비인후과의원,의원,1,127.1292899,37.4101791
41연세빛정신건강의학과의원,의원,3,126.8757769,37.5281774
41타워 마디튼튼의원,의원,3,126.8757769,37.5281774
41타워안과의원,의원,1,126.8757769,37.5281774
47이끌의원,의원,1,127.0292176,37.4964201
4월31일성형외과의원,의원,5,127.0298941,37.5150928
5튼튼의원,의원,2,126.802184,35.1639702
7내과의원,의원,1,129.0817393,35.1868365
815의원,의원,3,127.0284681,37.521777
85서울정형외과의원,의원,1,126.7385084,37.3449671
88신경외과의원,의원,1,126.8982249,37.4932685
88플러스내과산부인과의원,의원,3,127.0771328,37.6270229
88플러스내과의원,의원,2,126.8112828,37.5640542
88하내과의원,의원,2,126.7037115,37.5066003
88흉부외과의원,의원,1,126.8883501,37.4946401
90일의기적의원,의원,1,127.0489629,37.5247575
911 매일의원,의원,2,126.5435873,33.4777477
9988병원,병원,8,127.0375193,37.5585817
9988병원,병원,8,126.6248501,36.8925662
9988정형외과의원,의원,2,128.6135704,35.8571002
99서울소아청소년과의원,의원,4,129.0783665,35.2171501
ABC김광우소아청소년과의원,의원,1,129.3760844,36.0597091
ABC성형외과의원,의원,2,129.0557793,35.1580057
ABC안과의원,의원,1,129.0557793,35.1580057
AK 메디컬의원,의원,1,126.3049942,36.7478533
All바른의원,의원,1,129.1091632,37.5482742
B.M산부인과의원,의원,2,126.8514869,37.3079074
BBC의원,의원,1,128.5840827,35.2409671
BB성형외과의원,의원,1,129.335013,35.5385217
BB요양병원,요양병원,4,129.3780269,35.5593556
BH대학효요양병원,요양병원,3,129.020361,35.0996073
BJ 라임의원,의원,1,126.9814601,37.4743938
BLS(비엘에스)의원,의원,6,127.0439268,37.5249348
BMF의원,의원,1,126.8945136,35.1368071
CL성형외과의원,의원,1,127.0613426,37.6530591
CnB맑고고운본점의원,의원,1,126.6800704,37.4517913
CNP차앤박피부과의원,의원,2,126.9249768,37.5227131
CNP차앤박피부과의원,의원,3,126.7009869,37.4463303
CNP차앤박피부과의원,의원,2,127.1082039,36.8124074
D&A(디앤에이)성형외과의원,의원,1,127.0301527,37.5277552
DMC수색신경외과의원,의원,1,126.9010885,37.5782607
DO두신경과의원,의원,5,128.425197,34.8604052
Dr 목의원,의원,1,127.0631343,36.775543
Dr. 고 신경정신과의원,의원,1,127.0804054,37.5583953
Dr. 구의원,의원,1,127.9484815,37.3310468
DR.문이비인후과의원,의원,1,126.9471392,37.4871302
Dr.배 가정의학과의원,의원,1,127.490505,37.2515577
Dr.송내과의원,의원,1,126.7384502,37.443587
Dr.신형직의비타민정신과의원,의원,1,128.8972549,37.7556928
Dr.원흉부외과의원,의원,1,127.1057821,36.7974301
Dr.하석우의한사랑의원,의원,1,129.1087269,37.4877014
Dr리더스내과의원,의원,2,126.7453112,37.7110603
Dr홍연합의원,의원,1,127.1183932,37.5280478
DS피부과의원,의원,1,127.3870199,36.4259123
D편한외과의원,의원,1,128.9474978,35.9750205
EG임안과의원,의원,2,127.0051349,36.7830534
e-맑은정신과의원,의원,1,129.0414774,35.0917093
e-서울이비인후과의원,의원,1,126.8953657,37.4837318
e-서울이비인후과의원,의원,1,126.957596,37.4043804
e-서울이비인후과의원,의원,1,127.1236466,37.3862176
GSR(지에스알)재활의학과의원,의원,1,127.0264037,37.4983376
GS칼텍스(주)부속의원,의원,1,127.7268161,34.8616825
HD현대미포(주)부속의원,의원,1,129.4088718,35.4930942
HD현대삼호 부속의원,의원,1,126.3775928,34.7389802
HD현대중공업(주)부속의원,의원,3,129.4345113,35.5035399
HD현대중공업(주)해양부속의원,의원,1,129.4085319,35.4764025
J&B학운외과의원,의원,2,126.73095,37.5434877
J&C피부과의원,의원,1,126.9338453,37.3989076
J&J의원,의원,1,127.054892,36.7745748
J&L우리들내과의원,의원,1,129.0285778,35.1027847
JB외과의원,의원,2,127.1400857,35.8425514
JHW가인안과의원,의원,1,127.0236736,37.6026982
JK서울안과의원,의원,1,127.0695933,37.2971016
JM의원,의원,1,126.8247851,35.1910291
JS메디칼내과외과정형외과의원,의원,3,127.152227,36.8775039
JY피부과의원,의원,1,127.0080449,37.3031483
KS병원,종합병원,45,126.8331484,35.1979238
KT광화문부속의원,의원,1,126.9788661,37.5720274
LBO의원,의원,4,127.0795772,37.5953218
LG 디스플레이파주공장부속의원,의원,2,126.756809,37.815892
LG마취통증의학과의원,의원,1,126.7760763,37.5016096
LG에너지솔루션 부속의원,의원,1,127.4182025,36.6980018
LG전자(주)평택공장 부속의원,의원,1,127.0916202,37.1290327
LG전자㈜ 창원2공장부속의원,의원,1,128.6675055,35.2091217
LG화학 부속의원,의원,1,127.4365149,36.6525109
LH의원,의원,1,127.110166,37.341413
LH의원,의원,1,128.1457689,35.1781698
LK성형외과의원,의원,1,129.0574092,35.1573307
MS재건병원,병원,15,128.6048872,35.8718541
OK의원,의원,1,127.3066072,37.228185
OK의원,의원,4,128.9729767,35.1041396
OK의원,의원,1,126.8803825,35.1754754
OK재활의학과의원,의원,1,126.6066831,34.5706065
OLE(올래)성형외과의원,의원,1,127.0295122,37.5259003
PNC안과의원,의원,1,126.6491502,37.3971701
PSI한솔비뇨기과의원,의원,2,127.123442,35.8153506
SB나눔제일의원,의원,3,126.7283665,37.5384532
SC제일산부인과의원,의원,5,127.0856821,37.5447243
SC주미안피부과의원,의원,3,129.3214794,35.5274447
SG삼성조은병원,병원,12,127.109134,36.8188843
SH통증제로신경외과의원,의원,1,127.0968731,37.7440418
SJ美의원,의원,1,127.095532,37.3235444
SK 하이스텍(주)부속의원,의원,6,127.4806853,37.2529797
SKJ상경원요양병원,요양병원,1,127.702157,37.2890394
SKY서울가정의학과의원,의원,1,127.0104756,37.5958787
